IDSORT	SITE	INDIV	Family	Mother	Father	WT	GRE	FF	CRI	JUI	FIN
1	HB	A325-1	A325	P3	P15	141.72	2.4	6.21	2.83	3.27	3.3
2	HB	A325-2	A325	P3	P15	274.19	0.84	5.77	3.34	3.95	3.4
3	HB	A325-3	A325	P3	P15	184	2.2	8.45	5.16	4.94	3.77
4	HB	A325-4	A325	P3	P15	129.19	1.24	10.49	5.55	4.57	3.82
5	HB	A325-5	A325	P3	P15	222.02	1.2	10.03	5.21	4.44	3.76
6	HB	A325-6	A325	P3	P15	180.63	1.79	9.13	5.09	4.24	3.27
7	HB	A325-7	A325	P3	P15	150.99	3.01	8.46	5.15	4.06	3.59
8	HB	A325-8	A325	P3	P15	181.99	3.43	8.73	5.31	4.68	3.47
9	HB	A325-9	A325	P3	P15	NA	NA	NA	NA	NA	NA
10	HB	A325-10	A325	P3	P15	174.6	2.17	6.87	3.89	3.92	3.42
11	HB	A325-11	A325	P3	P15	149.46	2.29	10.16	4.84	4.51	3.66
12	HB	A325-12	A325	P3	P15	158.74	1.22	5.63	3.07	3.59	3.76
13	HB	A325-13	A325	P3	P15	168.22	1.6	8.03	4.02	3.95	3.71
14	HB	A325-14	A325	P3	P15	NA	NA	NA	NA	NA	NA
15	HB	A325-15	A325	P3	P15	159.64	0.99	6.55	3.14	3.65	3.49
16	HB	A328-16	A328	P12	P16	167.71	3.91	7.36	3.69	3.77	3.89
17	HB	A328-17	A328	P12	P16	216.57	3.89	5.76	3.29	4.07	3.79
18	HB	A328-18	A328	P12	P16	184.72	2.96	8.22	5.31	4.32	3.51
19	HB	A328-19	A328	P12	P16	245.78	4.17	6.96	3.71	4.22	3.61
20	HB	A328-20	A328	P12	P16	274.08	3.96	6.21	3.5	3.88	3.68
21	HB	A328-21	A328	P12	P16	182.56	3.43	6.43	3.61	3.69	3.19
22	HB	A328-22	A328	P12	P16	229.69	2.64	6.2	2.92	3.7	3.54
23	HB	A328-23	A328	P12	P16	134.14	2.81	5.73	3.21	3.5	3.57
24	HB	A328-24	A328	P12	P16	224.25	3.24	8.3	4.85	4.11	3.64
25	HB	A328-25	A328	P12	P16	155.03	2.3	5.93	3.55	3.49	3.1
26	HB	A328-26	A328	P12	P16	197.15	2.95	6.58	3.64	4.2	3.73
27	HB	A328-27	A328	P12	P16	230.63	1.43	7.15	4.89	4.51	3.76
28	HB	A328-28	A328	P12	P16	130.8	4.16	6.34	4.73	4.06	3.64
