probIn scale
0.4498981 7.926396
0.3612647 7.835353
0.329914 7.415503
0.3369093 7.37825
0.3349891 7.086822
0.2873341 6.85099
0.3018397 6.842859
0.284864 6.585293
0.2994746 6.67722
0.3028941 6.215701
0.3383953 6.432432
0.3841817 6.556437
0.3907459 6.226859
0.402024 5.871036
0.4430231 6.054762
0.4105069 6.16209
0.3959588 5.979962
0.3769827 6.370681
0.3698051 6.195054
0.3464904 6.058069
0.3736092 6.308747
0.38323 5.986557
0.3829931 5.903022
0.3769481 6.078243
0.3436308 5.869161
0.3700075 6.013482
0.3931276 6.223258
0.3784309 6.2862
0.3793632 6.163046
0.3911624 6.412969
0.3700335 6.40192
0.3836179 6.480724
0.3864114 6.495749
0.3812003 6.697961
0.3839179 6.851668
0.4217461 6.693457
0.4157878 6.659064
0.3768523 6.884448
0.4274298 6.889407
0.4484296 6.847851
0.4870508 7.049116
0.4523794 6.813674
0.465742 6.923785
0.4579112 6.680831
0.4578455 6.320979
0.4682319 6.062765
0.4335532 6.113485
0.4627625 6.145811
0.4272271 6.873928
0.4264535 6.540506
0.4030379 6.947851
0.3977869 7.02486
0.4374602 7.254351
0.3912225 7.328334
0.3250202 7.316243
0.3283469 7.18407
0.3859347 7.189101
0.3414253 7.454204
0.2957926 7.357011
0.3268783 7.237059
0.3322469 7.276222
0.3223625 7.392339
0.3040806 7.568232
0.315048 7.777311
0.3288646 7.781008
0.3122256 7.768033
0.3279833 7.460589
0.3495457 7.099226
0.313297 7.429585
0.3387228 7.251406
0.3519918 7.077281
0.3569868 6.79399
0.4145947 6.974915
0.391914 7.154788
0.3888396 7.147109
0.3817001 7.132973
0.3837422 7.202938
0.3365441 7.082329
0.3733468 7.036087
0.3350074 6.992399
0.2866398 6.739997
0.2395378 7.083416
0.2668112 7.27181
0.3077783 7.471891
0.3195937 7.198789
0.3382492 7.313083
0.3094317 7.459507
0.3663367 7.735848
0.3797055 7.293814
0.3538914 7.193215
0.3565941 7.103137
0.34535 6.668871
0.3570965 6.346526
0.3666319 6.027235
0.380602 5.810332
0.3853933 5.6542
0.3764046 5.796504
0.3770994 5.724589
0.3386875 5.897391
0.3712256 5.970209
0.3865748 5.907943
0.3782628 5.799052
0.3466148 5.643906
0.3459549 5.539976
0.3377121 5.832382
0.3589581 5.93748
0.3645728 5.839279
0.3290927 6.116486
0.2983993 6.503254
0.2793591 6.618458
0.2754903 6.275593
0.3165203 6.202828
0.3411466 5.914569
0.322405 6.090363
0.2918246 6.073601
0.3019596 5.905676
0.2923209 5.72973
0.2998559 5.690999
0.2827233 6.151548
0.3033959 6.307754
0.3097594 6.026892
0.3306134 5.620549
0.3712011 5.174836
0.3475119 5.113818
0.3587068 5.267712
0.3605526 5.356364
0.4131362 5.508085
0.4317901 5.406207
0.4162219 5.251575
0.4276543 5.115542
0.4625801 5.078988
0.4327796 5.065839
0.4176517 5.075789
0.4276064 5.169717
0.4862845 4.982913
0.4419345 5.153361
0.45789 5.304396
0.4442801 5.477803
0.4446223 5.420729
0.4288482 5.55019
0.3892493 5.615741
0.3657938 5.922688
0.3979819 5.931031
0.395023 5.833939
0.4273226 5.75381
0.3966693 6.023872
0.4207952 5.847327
0.4121228 5.604708
0.3995356 5.858422
0.376953 5.96156
0.4047124 6.000342
0.4398697 5.868211
0.3993368 5.953943
0.3914002 5.751052
0.3394206 5.623782
0.3079744 5.378559
0.2798141 5.627293
0.2739827 5.567638
0.316304 5.46742
0.2984143 5.477623
0.3308299 5.604252
0.3574064 5.958532
0.3692327 5.890789
0.3951324 5.717253
0.4045755 5.638348
0.4213147 5.629655
0.3836939 5.719242
0.4219596 5.766326
0.4528165 5.184311
0.4216179 5.313475
0.4167844 5.506787
0.4191104 5.276142
0.4043899 5.374361
0.4355494 5.556804
0.4121714 5.575983
0.4928631 5.214518
0.4906753 5.427573
0.5034881 5.565107
0.5188329 5.30037
0.5055628 5.613781
0.5707298 6.124449
0.5563404 6.194827
0.6040733 6.111163
0.5365343 6.119514
0.5874497 6.174795
0.5828508 6.234912
0.5799488 6.088953
0.61454 6.104116
0.5944752 6.221553
0.60999 5.833796
0.5989038 5.875753
0.6417963 5.518643
0.6170453 5.484727
0.6725161 5.755665
0.681715 5.701956
0.6772365 5.9721
0.6449712 6.202281
0.6697873 6.109339
0.6764436 6.22563
0.663331 5.89876
0.6713839 5.810354
0.6366713 5.733079
0.6009989 5.388044
0.5682882 5.383951
0.567277 5.035691
0.5372323 5.33642
0.5396851 5.064831
0.517249 5.045538
0.5386866 4.918318
0.5626176 4.870252
0.5353135 4.679444
0.5182483 4.964773
0.4901042 5.039136
0.4707833 5.009581
0.4437022 4.844597
0.4298219 4.697491
0.4129435 4.82925
0.4030818 5.004412
0.4115576 5.069149
0.4130894 4.813036
0.3564548 5.150616
0.355243 4.965357
0.3459004 5.111362
0.3408396 5.349156
0.3723575 5.222246
0.357826 5.221323
0.3840623 5.582701
0.3823879 5.352342
0.3511055 5.474818
0.3447822 5.386983
0.3389983 5.2941
0.3336221 5.134335
0.3050808 5.518745
0.309831 5.482874
0.3139519 5.554275
0.3018385 5.668833
0.3360391 5.941903
0.3095231 6.176143
0.3412879 6.070895
0.3316752 6.116695
0.3815059 6.037104
0.4198692 6.151569
0.3806461 6.39177
0.3698512 6.481748
0.3249893 6.48897
0.3511594 6.000147
0.3923632 5.96186
0.4010177 5.986836
0.3826856 5.833875
0.4102977 5.864684
0.4603806 5.522116
0.4717329 5.469035
0.4298519 5.574501
0.441384 5.496579
0.4564131 5.132392
0.468544 5.203345
0.4475479 4.997567
0.4324142 5.062691
0.4326343 5.047125
0.4548408 4.883513
0.4252497 4.949437
0.3911256 4.989195
0.4331523 4.947469
0.3912486 5.172288
0.3972688 5.336692
0.4225083 5.135233
0.4078818 5.064551
0.435136 5.036668
0.42523 4.982965
0.4264658 5.045936
0.4526855 4.762836
0.4463225 5.042971
0.4656277 4.834901
0.4653021 4.833987
0.4512844 5.034668
0.4975779 4.93016
0.4987211 5.153741
0.5053165 5.164356
0.4898244 5.111628
