INDIV	Mother	Father	Family
Apple1	0	0	NA
Apple2	0	0	NA
Apple3	0	0	NA
Apple4	0	0	NA
Apple5	0	0	NA
Apple6	0	0	NA
Apple7	0	0	NA
Apple8	0	0	NA
Apple9	0	0	NA
Apple10	0	0	NA
Apple11	0	0	NA
Apple12	0	0	NA
Apple13	0	0	NA
Apple14	0	0	NA
Apple15	0	0	NA
Apple16	0	0	NA
Apple17	0	0	NA
Apple18	0	0	NA
Apple19	0	0	NA
Apple20	0	0	NA
Apple21	0	0	NA
Apple22	0	0	NA
P1	Apple1	Apple13	NA
P2	Apple2	Apple1	NA
P3	Apple2	Apple1	NA
P4	Apple3	Apple14	NA
P5	Apple1	Apple2	NA
P6	Apple1	Apple2	NA
P7	Apple1	Apple2	NA
P8	Apple4	Apple15	NA
P9	Apple5	Apple16	NA
P10	Apple6	Apple17	NA
P11	Apple7	Apple9	NA
P12	Apple7	Apple9	NA
P13	Apple8	Apple18	NA
P14	Apple8	Apple19	NA
P15	Apple9	Apple20	NA
P16	Apple9	Apple20	NA
P17	Apple9	Apple20	NA
P18	Apple10	Apple21	NA
P19	Apple10	Apple21	NA
P20	Apple10	Apple21	NA
P21	Apple11	Apple22	NA
P22	Apple11	Apple22	NA
P23	Apple12	Apple22	NA
P24	Apple12	Apple22	NA
P25	Apple1	Apple2	NA
A325-1	P3	P15	A325
A325-2	P3	P15	A325
A325-3	P3	P15	A325
A325-4	P3	P15	A325
A325-5	P3	P15	A325
A325-6	P3	P15	A325
A325-7	P3	P15	A325
A325-8	P3	P15	A325
A325-9	P3	P15	A325
A325-10	P3	P15	A325
A325-11	P3	P15	A325
A325-12	P3	P15	A325
A325-13	P3	P15	A325
A325-14	P3	P15	A325
A325-15	P3	P15	A325
A328-16	P12	P16	A328
A328-17	P12	P16	A328
A328-18	P12	P16	A328
A328-19	P12	P16	A328
A328-20	P12	P16	A328
A328-21	P12	P16	A328
A328-22	P12	P16	A328
A328-23	P12	P16	A328
A328-24	P12	P16	A328
A328-25	P12	P16	A328
A328-26	P12	P16	A328
A328-27	P12	P16	A328
A328-28	P12	P16	A328
A328-29	P12	P16	A328
A328-30	P12	P16	A328
A332-31	P1	P16	A332
A332-32	P1	P16	A332
A332-33	P1	P16	A332
A332-34	P1	P16	A332
A332-35	P1	P16	A332
A332-36	P1	P16	A332
A332-37	P1	P16	A332
A332-38	P1	P16	A332
A332-39	P1	P16	A332
A332-40	P1	P16	A332
A332-41	P1	P16	A332
A332-42	P1	P16	A332
A332-43	P1	P16	A332
A332-44	P1	P16	A332
A332-45	P1	P16	A332
A333-46	P1	P17	A333
A333-47	P1	P17	A333
A333-48	P1	P17	A333
A333-49	P1	P17	A333
A333-50	P1	P17	A333
A333-51	P1	P17	A333
A333-52	P1	P17	A333
A333-53	P1	P17	A333
A333-54	P1	P17	A333
A333-55	P1	P17	A333
A333-56	P1	P17	A333
A333-57	P1	P17	A333
A333-58	P1	P17	A333
A333-59	P1	P17	A333
A333-60	P1	P17	A333
A334-61	P2	P14	A334
A334-62	P2	P14	A334
A334-63	P2	P14	A334
A334-64	P2	P14	A334
A334-65	P2	P14	A334
A334-66	P2	P14	A334
A334-67	P2	P14	A334
A334-68	P2	P14	A334
A334-69	P2	P14	A334
A334-70	P2	P14	A334
A334-71	P2	P14	A334
A334-72	P2	P14	A334
A334-73	P2	P14	A334
A334-74	P2	P14	A334
A334-75	P2	P14	A334
A336-76	P5	P15	A336
A336-77	P5	P15	A336
A336-78	P5	P15	A336
A336-79	P5	P15	A336
A336-80	P5	P15	A336
A336-81	P5	P15	A336
A336-82	P5	P15	A336
A336-83	P5	P15	A336
A336-84	P5	P15	A336
A336-85	P5	P15	A336
A336-86	P5	P15	A336
A336-87	P5	P15	A336
A336-88	P5	P15	A336
A342-89	P7	P20	A342
A342-90	P7	P20	A342
A342-91	P7	P20	A342
A342-92	P7	P20	A342
A342-93	P7	P20	A342
A342-94	P7	P20	A342
A342-95	P7	P20	A342
A342-96	P7	P20	A342
A342-97	P7	P20	A342
A342-98	P7	P20	A342
A342-99	P7	P20	A342
A342-100	P7	P20	A342
A342-101	P7	P20	A342
A342-102	P7	P20	A342
A396-103	P6	P13	A396
A396-104	P6	P13	A396
A396-105	P6	P13	A396
A396-106	P6	P13	A396
A396-107	P6	P13	A396
A396-108	P6	P13	A396
A396-109	P6	P13	A396
A396-110	P6	P13	A396
A396-111	P6	P13	A396
A396-112	P6	P13	A396
A396-113	P6	P13	A396
A396-114	P6	P13	A396
A396-115	P6	P13	A396
A396-116	P6	P13	A396
A456-117	P11	P25	A456
A456-118	P11	P25	A456
A456-119	P11	P25	A456
A456-120	P11	P25	A456
A456-121	P11	P25	A456
A456-122	P11	P25	A456
A456-123	P11	P25	A456
A456-124	P11	P25	A456
A456-125	P11	P25	A456
A456-126	P11	P25	A456
A456-127	P11	P25	A456
A456-128	P11	P25	A456
A456-129	P11	P25	A456
A456-130	P11	P25	A456
A456-131	P11	P25	A456
A535-132	P8	P2	A535
A535-133	P8	P2	A535
A535-134	P8	P2	A535
A535-135	P8	P2	A535
A535-136	P8	P2	A535
A535-137	P8	P2	A535
A535-138	P8	P2	A535
A535-139	P8	P2	A535
A535-140	P8	P2	A535
A535-141	P8	P2	A535
A535-142	P8	P2	A535
A535-143	P8	P2	A535
A535-144	P8	P2	A535
A536-145	P10	P22	A536
A536-146	P10	P22	A536
A536-147	P10	P22	A536
A536-148	P10	P22	A536
A536-149	P10	P22	A536
A536-150	P10	P22	A536
A536-151	P10	P22	A536
A536-152	P10	P22	A536
A536-153	P10	P22	A536
A536-154	P10	P22	A536
A536-155	P10	P22	A536
A536-156	P10	P22	A536
A536-157	P10	P22	A536
A537-158	P10	P21	A537
A537-159	P10	P21	A537
A537-160	P10	P21	A537
A537-161	P10	P21	A537
A537-162	P10	P21	A537
A537-163	P10	P21	A537
A537-164	P10	P21	A537
