"location" "rep" "ibk" "check" "gen" "col" "row" "yield"
"1" "Alliance" "1" "1" "1" "Camelot" "1" "16" 71.4
"2" "Alliance" "1" "1" "0" "NE16471" "1" "17" 56.5
"3" "Alliance" "1" "1" "0" "NE16510" "1" "18" 50.8
"4" "Alliance" "1" "1" "0" "NE16516" "1" "19" 49.8
"5" "Alliance" "1" "1" "0" "NE16570" "1" "20" 52.2
"6" "Alliance" "1" "1" "0" "NE16650" "1" "21" 42
"7" "Alliance" "1" "1" "0" "NE16553" "1" "22" 57.4
"8" "Alliance" "1" "1" "0" "NE16482" "1" "23" 49.5
"9" "Alliance" "1" "1" "0" "NE16548" "1" "24" 74.9
"10" "Alliance" "1" "1" "0" "NE16649" "1" "25" 52.8
"11" "Alliance" "2" "1" "0" "NE16447" "1" "26" 76.8
"12" "Alliance" "2" "1" "0" "NE16405" "1" "27" 58.4
"13" "Alliance" "2" "1" "0" "NE16520" "1" "28" 60.6
"14" "Alliance" "2" "1" "0" "NE16448" "1" "29" 61
"15" "Alliance" "2" "1" "0" "NE16423" "1" "30" 65.1
"16" "Alliance" "2" "1" "0" "NE16496" "1" "31" 49.1
"17" "Alliance" "2" "1" "0" "NE16431" "1" "32" 59
"18" "Alliance" "2" "1" "0" "NE16677" "1" "33" 57.7
"19" "Alliance" "2" "1" "0" "NE16577" "1" "34" 57.3
"20" "Alliance" "2" "1" "0" "NE16451" "1" "35" 62.7
"21" "Alliance" "1" "1" "0" "NE16406" "2" "16" 69.7
"22" "Alliance" "1" "1" "0" "NE16615" "2" "17" 51.7
"23" "Alliance" "1" "1" "0" "NE16464" "2" "18" 50.4
"24" "Alliance" "1" "1" "0" "NE16588" "2" "19" 57.2
"25" "Alliance" "1" "1" "0" "NE16698" "2" "20" 35.3
"26" "Alliance" "1" "1" "0" "NE16599" "2" "21" 50
"27" "Alliance" "1" "1" "0" "NE16630" "2" "22" 50.5
"28" "Alliance" "1" "1" "0" "NE16594" "2" "23" 49.2
"29" "Alliance" "1" "1" "0" "NE16578" "2" "24" 63.4
"30" "Alliance" "1" "1" "0" "NE16627" "2" "25" 60.8
"31" "Alliance" "2" "1" "0" "NE16504" "2" "26" 67.7
"32" "Alliance" "2" "1" "0" "NE16637" "2" "27" 54.2
"33" "Alliance" "2" "1" "0" "NE16404" "2" "28" 52
"34" "Alliance" "2" "1" "0" "NE16435" "2" "29" 45.4
"35" "Alliance" "2" "1" "1" "Camelot" "2" "30" 57
"36" "Alliance" "2" "1" "0" "NE16500" "2" "31" 58.7
"37" "Alliance" "2" "1" "0" "NE16474" "2" "32" 28.8
"38" "Alliance" "2" "1" "0" "NE16599" "2" "33" 64.1
"39" "Alliance" "2" "1" "0" "NE16613" "2" "34" 54.1
"40" "Alliance" "2" "1" "0" "NE16663" "2" "35" 59.9
"41" "Alliance" "1" "1" "0" "NE16538" "3" "16" 55.9
"42" "Alliance" "1" "1" "0" "NE16410" "3" "17" 49.7
"43" "Alliance" "1" "1" "0" "NE16417" "3" "18" 48.8
"44" "Alliance" "1" "1" "0" "NE16404" "3" "19" 48.8
"45" "Alliance" "1" "1" "0" "NE16489" "3" "20" 57.4
"46" "Alliance" "1" "1" "1" "Freeman" "3" "21" 73.3
"47" "Alliance" "1" "1" "0" "NE16636" "3" "22" 57.7
"48" "Alliance" "1" "1" "1" "GOODSTREAK" "3" "23" 52.1
"49" "Alliance" "1" "1" "0" "NE16469" "3" "24" 51.2
"50" "Alliance" "1" "1" "0" "NE16654" "3" "25" 45.9
"51" "Alliance" "2" "1" "1" "Freeman" "3" "26" 78.3
"52" "Alliance" "2" "1" "0" "NE16563V" "3" "27" 62.6
"53" "Alliance" "2" "1" "0" "NE16671" "3" "28" 74.2
"54" "Alliance" "2" "1" "0" "NE16515" "3" "29" 69.8
"55" "Alliance" "2" "1" "0" "NE16489" "3" "30" 61
"56" "Alliance" "2" "1" "0" "NE16638" "3" "31" 55.6
"57" "Alliance" "2" "1" "0" "NE16540" "3" "32" 49.9
"58" "Alliance" "2" "1" "1" "GOODSTREAK" "3" "33" 56.1
"59" "Alliance" "2" "1" "0" "NE16484" "3" "34" 48.2
"60" "Alliance" "2" "1" "0" "NE16579" "3" "35" 64.8
"61" "Alliance" "1" "2" "0" "NE16612" "4" "16" 56.4
"62" "Alliance" "1" "2" "0" "NE16525" "4" "17" 49.6
"63" "Alliance" "1" "2" "0" "NE16568" "4" "18" 42.1
"64" "Alliance" "1" "2" "0" "NE16665" "4" "19" 46.9
